bir, One
bu, This
ne, What
ve, And
için, for
mi, Is it
de, also
o, he
ben, I
çok, A lot
ama, But
evet, Yes
var, there is
da, in
mı, Is it
değil, not
şey, thing
hayır, No
daha, more
sen, you
kadar, much
bana, To me
gibi, like
yok, no
bunu, this
onu, him-her-it
iyi, Good
tamam, Ok
beni, Me
seni, You
her, each
benim, Mine
sana, to you
ki, that
ya, either
neden, From where
zaman, time
sadece, Only
senin, your
burada, Here
olduğunu, is
nasıl, How
hiç, none
sonra, later
şimdi, Now
en, -most
öyle, like that
mu, Is it
şu, This
misin, will you
önce, before
biraz, A little
hadi, Come on
güzel, Beautiful
musun, are you
oldu, happened
yani, well
böyle, like this
ona, him
İyi, Good
lütfen, Please
onun, her
bile, even
bak, look
çünkü, Because
peki, Alright
eğer, if
artık, Now
gerçekten, Really
geri, back
biliyorum, I know
istiyorum, I want
kim, who
olarak, aspect
başka, Another
belki, maybe
tek, only
doğru, TRUE
büyük, big
olan, the one which...
biri, someone
olur, It is possible
buraya, here
bay, Mr
in, of
olacak, will be
adam, man
ile, with
hiçbir, no
biz, We
yardım, help
demek, means
hey, Hey
sanırım, I think
ın, of
bilmiyorum, I don't know
bunun, this
tüm, all
teşekkürler, thanks
fazla, more
